,X,Y,Z,Point ID,DEN1,EL1,ENUT,EP,EPKE,KE,P1,PRPS,Points_0,Points_1,Points_2,Points_Magnitude,U1,V1,Vel1_0,Vel1_1,Vel1_2,Vel1_Magnitude,W1,WAF,WAMP,vtkValidPointMask
0,842918.9375,815069.9375,4.868804931640625,0,1.18900001,2.255362034,0.7141032219,0.01481332351,1.000000013e-10,0.3366861343,0.3259288669,-1,293.9375,589.9375,3.225404978,659.1175537,-2.016779184,-2.023870707,-2.016779184,-2.023870707,-0.009190641344,2.857190132,-0.009190641344,0.8591123819,1.05013454,1
1,842932.3125,815085.6875,5.167388916015625,0,1.18900001,2.27499032,0.7180914283,0.01460972149,1.000000013e-10,0.334810257,0.3420234323,-1,307.3125,605.6875,3.523988962,679.1986084,-2.015530109,-2.032846928,-2.015530109,-2.032846928,-0.009838894941,2.862678051,-0.009838894941,0.8592318892,1.052195549,1
2,842932.3125,815065.6875,5.022064208984375,0,1.18900001,2.264899731,0.7148406506,0.01463746745,1.000000013e-10,0.334628433,0.3327546418,-1,307.3125,585.6875,3.378664255,661.4243774,-2.007733583,-2.029878378,-2.007733583,-2.029878378,-0.009408957325,2.85508132,-0.009408957325,0.8577762246,1.049490094,1
3,842932.3125,815045.6875,5.134918212890625,0,1.18900001,2.271324396,0.7162406445,0.01457105298,1.000000013e-10,0.3340668082,0.3235265613,-1,307.3125,565.6875,3.491518259,643.7821655,-2.006804466,-2.033532381,-2.006804466,-2.033532381,-0.008976863697,2.8570261,-0.008976863697,0.857840538,1.050281882,1
4,842935.4375,815025.9375,5.818328857421875,0,1.18900001,2.314084053,0.7275135517,0.01427628193,1.000000013e-10,0.3323430717,0.3162512779,-1,310.4375,545.9375,4.174928665,628.0418701,-2.01855731,-2.052164078,-2.01855731,-2.052164078,-0.00858667586,2.878545523,-0.00858667586,0.8608235717,1.058258653,1
5,842935.6875,814908.125,4.674407958984375,0,1.18900001,2.241469622,0.7059236765,0.01459136326,1.000000013e-10,0.3326808512,0.2584549189,-1,310.6875,428.125,3.031008005,528.9866943,-1.970816016,-2.028669119,-1.970816016,-2.028669119,-0.005726144183,2.828364611,-0.005726144183,0.8517744541,1.039932251,1
6,842932.8125,814888.3125,4.6759033203125,0,1.18900001,2.242088556,0.7061581612,0.01458671596,1.000000013e-10,0.3326732516,0.2464716733,-1,307.8125,408.3125,3.032503366,511.348053,-1.970139384,-2.028758764,-1.970139384,-2.028758764,-0.005236342084,2.827956676,-0.005236342084,0.8516495824,1.039787531,1
7,842929.0,814868.6875,5.05499267578125,0,1.18900001,2.266797066,0.713273406,0.01444936357,1.000000013e-10,0.3321913779,0.234223038,-1,304.0,388.6875,3.411592722,493.4628906,-1.979644895,-2.038094044,-1.979644895,-2.038094044,-0.004761924967,2.841274977,-0.004761924967,0.8537046313,1.044691682,1
8,842924.375,814849.25,5.007537841796875,0,1.18900001,2.264680624,0.7128403187,0.01446614694,1.000000013e-10,0.3323328197,0.2213953733,-1,299.375,369.25,3.364137888,475.3759155,-1.978821874,-2.036316633,-1.978821874,-2.036316633,-0.004339727107,2.839426041,-0.004339727107,0.8533995748,1.04401958,1
9,842918.9375,814830.375,5.182891845703125,0,1.18900001,2.276799202,0.7164655924,0.01440376975,1.000000013e-10,0.3321841359,0.2088356614,-1,293.9375,350.375,3.539491892,457.355896,-1.983869195,-2.040016174,-1.983869195,-2.040016174,-0.003932352643,2.845596313,-0.003932352643,0.8543575406,1.046297908,1
10,842955.4375,815026.4375,5.24285888671875,0,1.18900001,2.277433634,0.7147622108,0.01433642302,1.000000013e-10,0.330909431,0.3281270564,-1,330.4375,546.4375,3.599458933,638.5889282,-1.987679601,-2.039650202,-1.987679601,-2.039650202,-0.008989296854,2.848003387,-0.008989296854,0.8547134399,1.047158718,1
11,842975.0625,815030.0625,5.016845703125,0,1.18900001,2.263283491,0.7076373696,0.01422283985,1.000000013e-10,0.3282698691,0.3381353319,-1,350.0625,550.0625,3.373445749,652.0152588,-1.964653969,-2.032721996,-1.964653969,-2.032721996,-0.009258484468,2.826996565,-0.009258484468,0.8496915698,1.03961575,1
12,842995.0,815032.125,5.058990478515625,0,1.18900001,2.266143799,0.7049891949,0.01399573963,1.000000013e-10,0.3249706924,0.3468870223,-1,370.0,552.125,3.415590525,664.6455078,-1.9475739,-2.031952381,-1.9475739,-2.031952381,-0.009447768331,2.814598322,-0.009447768331,0.845877409,1.035244226,1
13,843013.8125,815025.4375,4.41888427734375,0,1.18900001,2.225496531,0.6904149652,0.0140130315,1.000000013e-10,0.32275787,0.3492090106,-1,388.8125,545.4375,2.775484324,669.8394775,-1.913995028,-2.012557745,-1.913995028,-2.012557745,-0.009307211265,2.777382374,-0.009307211265,0.8380756974,1.021722913,1
14,843027.8125,815011.375,4.188201904296875,0,1.18900001,2.21064043,0.6841263175,0.01395461615,1.000000013e-10,0.3209941983,0.3445256948,-1,402.8125,531.375,2.54480195,666.8011475,-1.897741437,-2.003567934,-1.897741437,-2.003567934,-0.008916051127,2.75967145,-0.008916051127,0.8339627385,1.01527667,1
15,843040.125,814995.5625,4.392379760742188,0,1.18900001,2.223396778,0.6862225533,0.01379292272,1.000000013e-10,0.3193250895,0.338180393,-1,415.125,515.5625,2.748979807,661.9222412,-1.895790458,-2.007240534,-1.895790458,-2.007240534,-0.008506473154,2.760997772,-0.008506473154,0.8333092332,1.015764832,1
16,843052.375,814979.8125,4.419723510742188,0,1.18900001,2.225059509,0.6855409145,0.01370940916,1.000000013e-10,0.3181758821,0.3313695192,-1,427.375,499.8125,2.776323557,657.6242065,-1.890262485,-2.007073164,-1.890262485,-2.007073164,-0.008090589195,2.757081747,-0.008090589195,0.8319558501,1.014290214,1
17,843064.6875,814964.0,4.43896484375,0,1.18900001,2.226236343,0.6850018501,0.01364712417,1.000000013e-10,0.3173106015,0.3234609067,-1,439.6875,484.0,2.79556489,653.902832,-1.88669014,-2.006374121,-1.88669014,-2.006374121,-0.007670585532,2.754123449,-0.007670585532,0.8308845758,1.013105273,1
18,843076.9375,814948.1875,4.26800537109375,0,1.18900001,2.215675354,0.681363821,0.01365495007,1.000000013e-10,0.3168176115,0.3148043156,-1,451.9375,468.1875,2.624605417,650.7333984,-1.878146052,-2.001517296,-1.878146052,-2.001517296,-0.007234095596,2.74473238,-0.007234095596,0.828858614,1.009573817,1
19,843089.25,814932.4375,4.25634765625,0,1.18900001,2.215250731,0.6807780266,0.01362374611,1.000000013e-10,0.3163396418,0.3058449626,-1,464.25,452.4375,2.612947702,648.2550049,-1.874327421,-2.001531601,-1.874327421,-2.001531601,-0.006809594575,2.74213028,-0.006809594575,0.8280639052,1.008535028,1
20,843101.5,814916.625,4.0980224609375,0,1.18900001,2.205605745,0.6779311299,0.01365969609,1.000000013e-10,0.3163320422,0.2959047854,-1,476.5,436.625,2.454622507,646.296875,-1.868113399,-1.998252392,-1.868113399,-1.998252392,-0.006412256509,2.73548913,-0.006412256509,0.8267794251,1.005985379,1
21,843113.75,814900.8125,4.01104736328125,0,1.18900001,2.200784206,0.6764363647,0.01367077325,1.000000013e-10,0.3162306249,0.2849125862,-1,488.75,420.8125,2.367647409,644.9537354,-1.863965631,-1.996412635,-1.863965631,-1.996412635,-0.006004821043,2.731312275,-0.006004821043,0.8258993626,1.004375458,1
22,843126.0625,814885.0625,3.98187255859375,0,1.18900001,2.199672461,0.6761435866,0.01367229596,1.000000013e-10,0.3162102699,0.2736807168,-1,501.0625,405.0625,2.338472605,644.3172607,-1.86159265,-1.996662378,-1.86159265,-1.996662378,-0.005589501001,2.729875326,-0.005589501001,0.8255599737,1.003783703,1
23,843065.3125,814929.0,4.114532470703125,0,1.18900001,2.205995798,0.6814945936,0.01387641486,1.000000013e-10,0.3196463883,0.3016857207,-1,440.3125,449.0,2.471132517,628.8737793,-1.883152843,-2.004324913,-1.883152843,-2.004324913,-0.006776619237,2.750205278,-0.006776619237,0.831258595,1.01151967,1
24,843080.9375,814916.5,4.01214599609375,0,1.18900001,2.199845314,0.6786877513,0.01383697893,1.000000013e-10,0.3186938465,0.2949124873,-1,455.9375,436.5,2.368746042,631.2026978,-1.874848247,-2.000667095,-1.874848247,-2.000667095,-0.006429915316,2.741854429,-0.006429915316,0.8291990161,1.008380055,1
25,843093.125,814900.625,3.9339599609375,0,1.18900001,2.195474148,0.6770867109,0.01383106038,1.000000013e-10,0.3183641732,0.2848499715,-1,468.125,420.625,2.290560007,629.3422241,-1.869674683,-1.998950958,-1.869674683,-1.998950958,-0.006010842044,2.737064838,-0.006010842044,0.8281057477,1.006566167,1
26,843105.375,814884.8125,3.843902587890625,0,1.18900001,2.190404654,0.6755341887,0.01384476945,1.000000013e-10,0.3182851076,0.2738111913,-1,480.375,404.8125,2.200502634,628.2023315,-1.865487099,-1.997142911,-1.865487099,-1.997142911,-0.005601855926,2.732883692,-0.005601855926,0.8272422552,1.004956245,1
27,842987.5,814870.375,4.0802764892578125,0,1.18900001,2.20452261,0.691242218,0.01451719087,1.000000013e-10,0.3293032944,0.2529630959,-1,362.5,390.375,2.436876535,532.7333374,-1.926140308,-2.016654015,-1.926140308,-2.016654015,-0.005178960972,2.788716078,-0.005178960972,0.8429808021,1.02549541,1
28,842978.8125,814852.375,4.0892333984375,0,1.18900001,2.205719948,0.6924456358,0.01456202939,1.000000013e-10,0.3300670981,0.2396032363,-1,353.8125,372.375,2.445833445,513.6656494,-1.930605173,-2.016914368,-1.930605173,-2.016914368,-0.004743545316,2.791989088,-0.004743545316,0.8439131379,1.026681304,1
29,842972.4375,814833.375,4.259307861328125,0,1.18900001,2.217268944,0.6963297725,0.01453261916,1.000000013e-10,0.3303644061,0.2263519168,-1,347.4375,353.375,2.615907907,495.5739746,-1.937730551,-2.021106482,-1.937730551,-2.021106482,-0.004302591085,2.799944639,-0.004302591085,0.8454285264,1.029598355,1
30,842966.1875,814814.375,4.4854736328125,0,1.18900001,2.232624769,0.7012475133,0.01447788998,1.000000013e-10,0.3305232227,0.2130601853,-1,341.1875,334.375,2.842073679,477.7275696,-1.946146965,-2.02640152,-1.946146965,-2.02640152,-0.003909898922,2.80959177,-0.003909898922,0.8471665382,1.033143997,1
31,842959.9375,814795.375,4.771514892578125,0,1.18900001,2.252090931,0.7073181272,0.01439792383,1.000000013e-10,0.3305650353,0.1997173578,-1,334.9375,315.375,3.128114939,460.059021,-1.956028104,-2.032950878,-1.956028104,-2.032950878,-0.003560054814,2.821160793,-0.003560054814,0.8491755724,1.037401199,1
32,843048.875,814917.5625,4.0383148193359375,0,1.18900001,2.201087952,0.6827744246,0.01406613085,1.000000013e-10,0.3222505748,0.2931845784,-1,423.875,437.5625,2.394914865,609.2098999,-1.890791178,-2.007765532,-1.890791178,-2.007765532,-0.00650906004,2.757944107,-0.00650906004,0.8339824677,1.014339447,1
33,843035.8125,814902.4375,4.160186767578125,0,1.18900001,2.209094763,0.6871019602,0.01415199134,1.000000013e-10,0.3240512311,0.2814123631,-1,410.8125,422.4375,2.516786814,589.2594604,-1.902492523,-2.013886929,-1.902492523,-2.013886929,-0.006110831164,2.770425081,-0.006110831164,0.8370988965,1.018882632,1
34,843022.8125,814887.25,4.015960693359375,0,1.18900001,2.200202942,0.6864587665,0.01431484986,1.000000013e-10,0.3259819448,0.2699256241,-1,397.8125,407.25,2.37256074,569.3092041,-1.906433582,-2.01279664,-1.906433582,-2.01279664,-0.00570821017,2.772340536,-0.00570821017,0.8384011388,1.019546509,1
35,843009.8125,814872.0,3.883102416992188,0,1.18900001,2.191995621,0.6857823133,0.01446147542,1.000000013e-10,0.3276988864,0.2586832047,-1,384.8125,392.0,2.239702463,549.3174438,-1.909965515,-2.011497021,-1.909965515,-2.011497021,-0.005303267855,2.773827076,-0.005303267855,0.8395217061,1.02005899,1
36,842998.0625,814855.6875,3.800003051757813,0,1.18900001,2.187199354,0.6856794357,0.01456545573,1.000000013e-10,0.3289746046,0.2458631545,-1,373.0625,375.6875,2.156603098,529.4538574,-1.914002895,-2.009941339,-1.914002895,-2.009941339,-0.004898451269,2.775480986,-0.004898451269,0.8404420614,1.020644307,1
37,842991.125,814837.0625,3.837478637695313,0,1.18900001,2.190186977,0.6872847676,0.01459431741,1.000000013e-10,0.3296063244,0.2323933691,-1,366.125,357.0625,2.194078684,511.4156494,-1.918570042,-2.011004925,-1.918570042,-2.011004925,-0.004454313312,2.779401302,-0.004454313312,0.8414241076,1.022070646,1
38,842984.8125,814818.0625,4.37078857421875,0,1.18900001,2.225165129,0.6979205012,0.01444241218,1.000000013e-10,0.329520762,0.2188532948,-1,359.8125,338.0625,2.72738862,493.7192688,-1.935584188,-2.024248838,-1.935584188,-2.024248838,-0.004037056118,2.800729513,-0.004037056118,0.8450961709,1.029907465,1
39,842978.5,814799.125,4.456069946289063,0,1.18900001,2.231631994,0.7003704309,0.01444030553,1.000000013e-10,0.3299132288,0.2052339911,-1,353.5,319.125,2.812669992,476.2467041,-1.940800309,-2.025904179,-1.940800309,-2.025904179,-0.003679734888,2.805531502,-0.003679734888,0.8461024761,1.031672001,1
40,842941.3125,815098.4375,6.540771484375,0,1.18900001,2.363711834,0.7418859005,0.01403962448,1.000000013e-10,0.3317223787,0.3544736505,-1,316.3125,618.4375,4.897371292,694.652832,-2.045655251,-2.06908226,-2.045655251,-2.06908226,-0.01034328341,2.909624338,-0.01034328341,0.8661988378,1.069443226,1
41,842960.6875,815074.625,4.881759643554688,0,1.18900001,2.256155491,0.70851475,0.01445075031,1.000000013e-10,0.3312115371,0.3553685844,-1,335.6875,594.625,3.23835969,682.843689,-1.979136586,-2.029895067,-1.979136586,-2.029895067,-0.0102387853,2.835059166,-0.0102387853,0.8526028395,1.042310357,1
42,842960.8125,815046.5,4.88372802734375,0,1.18900001,2.255205393,0.7079063654,0.0144279087,1.000000013e-10,0.3308627307,0.3409501612,-1,335.8125,566.5,3.240328074,658.5611572,-1.97588408,-2.030044556,-1.97588408,-2.030044556,-0.00956801232,2.832894325,-0.00956801232,0.8520263433,1.041614532,1
43,842994.5,815102.0625,4.5408477783203125,0,1.18900001,2.236074209,0.6964254379,0.01416659821,1.000000013e-10,0.3255770206,0.386762172,-1,369.5,622.0625,2.897447824,723.5332642,-1.932152271,-2.021561146,-1.932152271,-2.021561146,-0.01111466065,2.796434402,-0.01111466065,0.8429487348,1.028418422,1
44,843003.9375,815086.5,4.544708251953125,0,1.18900001,2.235649109,0.6942393184,0.0140350638,1.000000013e-10,0.3235915899,0.3815771937,-1,378.9375,606.5,2.901308298,715.1533203,-1.921777964,-2.019272327,-1.921777964,-2.019272327,-0.01079349034,2.787616968,-0.01079349034,0.8404148817,1.025367022,1
45,843006.0625,815056.1875,4.68890380859375,0,1.18900001,2.243582249,0.6963347197,0.0139776906,1.000000013e-10,0.3232637644,0.3646532297,-1,381.0625,576.1875,3.045503855,690.803833,-1.925779819,-2.021221161,-1.925779819,-2.021221161,-0.01008956786,2.79178524,-0.01008956786,0.8409876823,1.026969552,1
46,843034.5625,815086.0625,4.824310302734375,0,1.18900001,2.254321814,0.691536963,0.01345640048,1.000000013e-10,0.3158091903,0.3898232877,-1,409.5625,606.0625,3.180910349,731.4802246,-1.892573714,-2.015519619,-1.892573714,-2.015519619,-0.01034125313,2.764825821,-0.01034125313,0.8324596286,1.017452836,1
47,842937.25,814928.0625,5.289520263671875,0,1.18900001,2.279969215,0.7168036103,0.01437886246,1.000000013e-10,0.3318838775,0.2696707249,-1,312.25,448.0625,3.64612031,546.144104,-1.988331914,-2.043684244,-1.988331914,-2.043684244,-0.00622454565,2.851341486,-0.00622454565,0.8554994464,1.048374176,1
48,842938.125,814943.0625,5.74078369140625,0,1.18900001,2.308296204,0.7248058915,0.01422291622,1.000000013e-10,0.3312989175,0.2777105272,-1,313.125,463.0625,4.097383499,559.0089111,-2.001571655,-2.054507971,-2.001571655,-2.054507971,-0.006610212382,2.86833334,-0.006610212382,0.8582695723,1.054616332,1
49,842938.5,814958.0625,5.6226806640625,0,1.18900001,2.300671101,0.7227258086,0.01427448448,1.000000013e-10,0.3315733671,0.2855610847,-1,313.5,478.0625,3.97928071,571.7008057,-2.000304461,-2.051009417,-2.000304461,-2.051009417,-0.006990641821,2.864944458,-0.006990641821,0.8578513265,1.053362608,1
50,842938.5,814973.0625,5.750244140625,0,1.18900001,2.308781385,0.7251223326,0.01423907746,1.000000013e-10,0.3315277398,0.2928994,-1,313.5,493.0625,4.106843948,584.3027954,-2.005864859,-2.0534935,-2.005864859,-2.0534935,-0.007363806944,2.870606899,-0.007363806944,0.8588801026,1.055432081,1
51,842938.4375,814988.0625,5.754302978515625,0,1.18900001,2.30919075,0.7253716588,0.0142486915,1.000000013e-10,0.3316747844,0.3000801504,-1,313.4375,508.0625,4.110902786,596.9819946,-2.008347511,-2.052805901,-2.008347511,-2.052805901,-0.007735022344,2.871851683,-0.007735022344,0.8592173457,1.055875778,1
52,842946.3125,815000.25,5.220230102539063,0,1.18900001,2.275475025,0.7151258588,0.01439702231,1.000000013e-10,0.3317592442,0.3102277219,-1,321.3125,520.25,3.576830149,611.4855347,-1.990565658,-2.039398432,-1.990565658,-2.039398432,-0.008175277151,2.849835873,-0.008175277151,0.8553823829,1.047817588,1
53,842957.0625,815009.9375,5.4159698486328125,0,1.18900001,2.287910938,0.7173929811,0.01425446384,1.000000013e-10,0.3303540945,0.3208776712,-1,332.0625,529.9375,3.772569895,625.390686,-1.988967299,-2.044853687,-1.988967299,-2.044853687,-0.008609814569,2.852628946,-0.008609814569,0.8552391529,1.048891425,1
54,842971.8125,815012.6875,5.0997467041015625,0,1.18900001,2.268036604,0.7095727921,0.01422930788,1.000000013e-10,0.3287013471,0.3279795647,-1,346.8125,532.6875,3.45634675,635.6467896,-1.96865344,-2.035840511,-1.96865344,-2.035840511,-0.00880240649,2.832016945,-0.00880240649,0.8507617712,1.041436911,1
55,842986.5625,815015.375,4.8011322021484375,0,1.18900001,2.249279976,0.7019643784,0.01418786589,1.000000013e-10,0.3268933594,0.3348010778,-1,361.5625,535.375,3.157732248,646.0369873,-1.948307157,-2.026931047,-1.948307157,-2.026931047,-0.00897349976,2.811481953,-0.00897349976,0.8462122083,1.034015059,1
56,843001.1875,815013.625,4.5208740234375,0,1.18900001,2.231546402,0.6947222948,0.01414106134,1.000000013e-10,0.3250981867,0.3392475843,-1,376.1875,533.625,2.87747407,652.9019775,-1.92840457,-2.018674374,-1.92840457,-2.018674374,-0.009033408947,2.791750669,-0.009033408947,0.8417953253,1.026878238,1
57,843012.5625,815004.0625,4.2406768798828125,0,1.18900001,2.21365118,0.688023746,0.01412876695,1.000000013e-10,0.3238365352,0.3371275067,-1,387.5625,524.0625,2.597276926,651.8074341,-1.912306786,-2.009741068,-1.912306786,-2.009741068,-0.008805065416,2.774176359,-0.008805065416,0.8379848003,1.020482302,1
58,843021.75,814992.25,4.327789306640625,0,1.18900001,2.219121695,0.6883423328,0.01402145717,1.000000013e-10,0.3225530386,0.3324510455,-1,396.75,512.25,2.684389353,647.9335327,-1.908363461,-2.010736227,-1.908363461,-2.010736227,-0.008471148089,2.77218008,-0.008471148089,0.8369407654,1.019762993,1
59,843031.0,814980.4375,4.38604736328125,0,1.18900001,2.222758532,0.6883161068,0.01393439621,1.000000013e-10,0.3214666247,0.3276479542,-1,406.0,500.4375,2.742647409,644.4231567,-1.904278398,-2.011378288,-1.904278398,-2.011378288,-0.008150981739,2.769834995,-0.008150981739,0.8359287381,1.018899441,1
60,843040.1875,814968.5625,4.4925537109375,0,1.18900001,2.229431868,0.6893234253,0.0138428295,1.000000013e-10,0.3204961121,0.3226531446,-1,415.1875,488.5625,2.849153757,641.1568604,-1.902194142,-2.013662338,-1.902194142,-2.013662338,-0.007843534462,2.770061493,-0.007843534462,0.8354325294,1.018964529,1
61,843049.375,814956.6875,4.453033447265625,0,1.18900001,2.226981401,0.6879230142,0.01380779315,1.000000013e-10,0.319835335,0.3173366487,-1,424.375,476.6875,2.809633493,638.2264404,-1.896665215,-2.012542009,-1.896665215,-2.012542009,-0.007537136786,2.765451431,-0.007537136786,0.8342232108,1.017246366,1
62,843049.3125,814942.5,4.43878173828125,0,1.18900001,2.226206064,0.6884617209,0.01385512296,1.000000013e-10,0.3205317557,0.3086050153,-1,424.3125,462.5,2.795381784,627.6584473,-1.898064733,-2.014255762,-1.898064733,-2.014255762,-0.007164228708,2.76765728,-0.007164228708,0.8349229097,1.018003821,1
63,843039.625,814931.0625,4.378219604492188,0,1.18900001,2.222400427,0.6892182827,0.01398646552,1.000000013e-10,0.3223144412,0.2999750078,-1,414.625,451.0625,2.734819651,612.6815796,-1.903545976,-2.015841722,-1.903545976,-2.015841722,-0.006860607769,2.772571325,-0.006860607769,0.8366774321,1.019749165,1
64,843029.875,814919.625,4.272994995117188,0,1.18900001,2.215765953,0.6890378594,0.01412491873,1.000000013e-10,0.3240259886,0.2915032208,-1,404.875,439.625,2.629595041,597.6627808,-1.907375336,-2.015964985,-1.907375336,-2.015964985,-0.006550806109,2.775290728,-0.006550806109,0.838006258,1.020694852,1
65,843020.1875,814908.25,4.2209320068359375,0,1.18900001,2.212668419,0.6896435618,0.01423217077,1.000000013e-10,0.3254733384,0.2828408182,-1,395.1875,428.25,2.577532053,582.7330933,-1.912029624,-2.016752005,-1.912029624,-2.016752005,-0.006249190308,2.779061794,-0.006249190308,0.8393939137,1.022046804,1
66,843010.4375,814896.8125,4.18524169921875,0,1.18900001,2.21060729,0.6904207468,0.01432680432,1.000000013e-10,0.3267898858,0.2742597759,-1,385.4375,416.8125,2.541841745,567.7157593,-1.916735649,-2.017653227,-1.916735649,-2.017653227,-0.005945404526,2.782954454,-0.005945404526,0.8407375216,1.02344799,1
67,843000.6875,814885.4375,4.207305908203125,0,1.18900001,2.212229967,0.6920639277,0.01439103764,1.000000013e-10,0.3278703392,0.265340507,-1,375.6875,405.4375,2.563905954,552.7451782,-1.922675371,-2.019299984,-1.922675371,-2.019299984,-0.005621751305,2.788240433,-0.005621751305,0.842202127,1.025360823,1
